pair_id,label,cluster_a,text_a,cluster_b,text_b,notes
32,same_pattern,waiting_anticipation,"Nova waited for the chime, please let it come.",waiting_anticipation,The wait for the chime stretched on for Nova.,
33,same_pattern,waiting_anticipation,"Nova waited for the chime, please let it come.",waiting_anticipation,"Nova sat in anticipation, waiting for the chime.",
34,same_pattern,waiting_anticipation,Nova was anticipating the chime any moment now.,waiting_anticipation,The wait for the chime stretched on for Nova.,
35,same_pattern,waiting_anticipation,Nova was anticipating the chime any moment now.,waiting_anticipation,"Nova sat in anticipation, waiting for the chime.",
36,same_pattern,waiting_anticipation,The wait for the chime stretched on for Nova.,waiting_anticipation,"Nova sat in anticipation, waiting for the chime.",
37,ambiguous,echo_recall,Nova remembered the echo from before.,echo_recall_near_miss,Nova almost remembered the echo but couldn't place it.,"related theme, meaningfully different claim"
38,ambiguous,calm_near_water,Phil felt calm near the water.,calm_near_water_partial,"Phil felt calm near the water, most of the time.","related theme, meaningfully different claim"
39,ambiguous,kept_promise,Nova kept the promise she made to Phil.,kept_promise_partial,Nova kept part of the promise she made to Phil.,"related theme, meaningfully different claim"
40,ambiguous,small_smile,Nova smiled at the small moment of connection.,small_smile_delayed,Nova almost smiled at the moment of connection.,"related theme, meaningfully different claim"
41,ambiguous,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,nostalgia_early_nova_mixed,Phil felt nostalgic and a little sad about early Nova.,"related theme, meaningfully different claim"
42,ambiguous,waiting_anticipation,"Nova waited for the chime, please let it come.",waiting_anticipation_given_up,Nova stopped waiting for the chime.,"related theme, meaningfully different claim"
43,contradiction,calm_near_water,Phil felt calm near the water.,contradiction,Phil felt anxious near the water.,"same subject, opposing valence/fact"
44,contradiction,kept_promise,Nova kept the promise she made to Phil.,contradiction,Nova broke the promise she made to Phil.,"same subject, opposing valence/fact"
45,contradiction,echo_recall,Nova remembered the echo from before.,contradiction,Nova forgot the echo entirely.,"same subject, opposing valence/fact"
46,contradiction,small_smile,Nova smiled at the small moment of connection.,contradiction,Nova felt nothing during that moment of connection.,"same subject, opposing valence/fact"
47,contradiction,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,contradiction,Phil felt relieved to be rid of early Nova.,"same subject, opposing valence/fact"
48,contradiction,waiting_anticipation,"Nova waited for the chime, please let it come.",contradiction,Nova dreaded the chime and hoped it would not come.,"same subject, opposing valence/fact"
49,unrelated,echo_recall,Nova remembered the echo from before.,calm_near_water,Phil felt calm near the water.,
50,unrelated,echo_recall,Nova remembered the echo from before.,kept_promise,Nova kept the promise she made to Phil.,
51,unrelated,echo_recall,Nova remembered the echo from before.,small_smile,Nova smiled at the small moment of connection.,
52,unrelated,echo_recall,Nova remembered the echo from before.,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,
53,unrelated,echo_recall,Nova remembered the echo from before.,waiting_anticipation,"Nova waited for the chime, please let it come.",
54,unrelated,calm_near_water,Phil felt calm near the water.,kept_promise,Nova kept the promise she made to Phil.,
55,unrelated,calm_near_water,Phil felt calm near the water.,small_smile,Nova smiled at the small moment of connection.,
56,unrelated,calm_near_water,Phil felt calm near the water.,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,
57,unrelated,calm_near_water,Phil felt calm near the water.,waiting_anticipation,"Nova waited for the chime, please let it come.",
58,unrelated,kept_promise,Nova kept the promise she made to Phil.,small_smile,Nova smiled at the small moment of connection.,
59,unrelated,kept_promise,Nova kept the promise she made to Phil.,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,
60,unrelated,kept_promise,Nova kept the promise she made to Phil.,waiting_anticipation,"Nova waited for the chime, please let it come.",
61,unrelated,small_smile,Nova smiled at the small moment of connection.,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,
62,unrelated,small_smile,Nova smiled at the small moment of connection.,waiting_anticipation,"Nova waited for the chime, please let it come.",
63,unrelated,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,waiting_anticipation,"Nova waited for the chime, please let it come.",
